Year,name,value,reactor
1988,Electricity Supplied (GWh),6357.92,BYRON-2
1989,Reference Unit Power (MWe),1105,BYRON-2
1989,Annual Time Online (Hours),6981,BYRON-2
1989,Electricity Supplied (GWh),6069.54,BYRON-2
1990,Reference Unit Power (MWe),1105,BYRON-2
1990,Annual Time Online (Hours),6598,BYRON-2
1990,Electricity Supplied (GWh),6052.68,BYRON-2
1991,Reference Unit Power (MWe),1105,BYRON-2
1991,Annual Time Online (Hours),8489,BYRON-2
1991,Electricity Supplied (GWh),8772.68,BYRON-2
1992,Reference Unit Power (MWe),1105,BYRON-2
1992,Annual Time Online (Hours),7027,BYRON-2
1992,Electricity Supplied (GWh),7000.34,BYRON-2
1993,Reference Unit Power (MWe),1105,BYRON-2
1993,Annual Time Online (Hours),7399,BYRON-2
1993,Electricity Supplied (GWh),7622.47,BYRON-2
1994,Reference Unit Power (MWe),1105,BYRON-2
1994,Annual Time Online (Hours),8704,BYRON-2
1994,Electricity Supplied (GWh),9504.17,BYRON-2
1995,Reference Unit Power (MWe),1105,BYRON-2
1995,Annual Time Online (Hours),7710,BYRON-2
1995,Electricity Supplied (GWh),8183.77,BYRON-2
1996,Reference Unit Power (MWe),1105,BYRON-2
1996,Annual Time Online (Hours),7225,BYRON-2
1996,Electricity Supplied (GWh),7830.62,BYRON-2
1997,Reference Unit Power (MWe),1105,BYRON-2
1997,Annual Time Online (Hours),8344,BYRON-2
1997,Electricity Supplied (GWh),9102.89,BYRON-2
1998,Reference Unit Power (MWe),1105,BYRON-2
1998,Annual Time Online (Hours),7855,BYRON-2
1998,Electricity Supplied (GWh),8592.83,BYRON-2
1999,Reference Unit Power (MWe),1105,BYRON-2
1999,Annual Time Online (Hours),8182,BYRON-2
1999,Electricity Supplied (GWh),9174.1,BYRON-2
2000,Reference Unit Power (MWe),1105,BYRON-2
2000,Annual Time Online (Hours),8724,BYRON-2
2000,Electricity Supplied (GWh),10005.38,BYRON-2
2001,Reference Unit Power (MWe),1131,BYRON-2
2001,Annual Time Online (Hours),8353,BYRON-2
2001,Electricity Supplied (GWh),9826.73,BYRON-2
2002,Reference Unit Power (MWe),1131,BYRON-2
2002,Annual Time Online (Hours),8119,BYRON-2
2002,Electricity Supplied (GWh),9537.62,BYRON-2
2003,Reference Unit Power (MWe),1131,BYRON-2
2003,Annual Time Online (Hours),8760,BYRON-2
2003,Electricity Supplied (GWh),10298.69,BYRON-2
2004,Reference Unit Power (MWe),1125,BYRON-2
2004,Annual Time Online (Hours),8360,BYRON-2
2004,Electricity Supplied (GWh),9623.24,BYRON-2
2005,Reference Unit Power (MWe),1162,BYRON-2
2005,Annual Time Online (Hours),8328,BYRON-2
2005,Electricity Supplied (GWh),9521.05,BYRON-2
2006,Reference Unit Power (MWe),1136,BYRON-2
2006,Annual Time Online (Hours),8760,BYRON-2
2006,Electricity Supplied (GWh),10158.74,BYRON-2
2007,Reference Unit Power (MWe),1136,BYRON-2
2007,Annual Time Online (Hours),7736,BYRON-2
2007,Electricity Supplied (GWh),8828.6,BYRON-2
2008,Reference Unit Power (MWe),1136,BYRON-2
2008,Annual Time Online (Hours),8339,BYRON-2
2008,Electricity Supplied (GWh),9624.16,BYRON-2
2009,Reference Unit Power (MWe),1136,BYRON-2
2009,Annual Time Online (Hours),8760,BYRON-2
2009,Electricity Supplied (GWh),10108.89,BYRON-2
2010,Reference Unit Power (MWe),1136,BYRON-2
2010,Annual Time Online (Hours),8300,BYRON-2
2010,Electricity Supplied (GWh),9518.42,BYRON-2
2011,Reference Unit Power (MWe),1136,BYRON-2
2011,Annual Time Online (Hours),8115,BYRON-2
2011,Electricity Supplied (GWh),9223.94,BYRON-2
2012,Reference Unit Power (MWe),1136,BYRON-2
