Country,Year,Type,TWh,Popn,MWhPerCap
Russian Federation,2012,SolarPlusWind,0.009462506849315069,144529966.63953412,6.547089900681355e-5
Russian Federation,2012,SolarPlusWindPlusBio,0.512311506849315,144529966.63953412,0.0035446732519287772
Russian Federation,2013,Gas,529.9604388181575,144115964.4263217,3.6773194484577467
Russian Federation,2013,Coal,161.8718578536458,144115964.4263217,1.1232055969510697
Russian Federation,2013,Oil,8.705777227469422,144115964.4263217,0.06040813911300016
Russian Federation,2013,Solar,0.0108,144115964.4263217,7.493965046128825e-5
Russian Federation,2013,Wind,0.0044729999999999995,144115964.4263217,3.1037505232716884e-5
Russian Federation,2013,Hydro,181.1511,144115964.4263217,1.2569814920998033
Russian Federation,2013,Nuclear,172.5081,144115964.4263217,1.1970089551612002
Russian Federation,2013,Biomass/Geo,0.48152700000000004,144115964.4263217,0.003341246765525255
Russian Federation,2013,SolarPlusWind,0.015273,144115964.4263217,1.0597715569400515e-4
Russian Federation,2013,SolarPlusWindPlusBio,0.4968,144115964.4263217,0.00344722392121926
Russian Federation,2014,Gas,534.8496316129177,143668075.8728354,3.7228147475597018
Russian Federation,2014,Coal,158.701542165864,143668075.8728354,1.104640270301491
Russian Federation,2014,Oil,10.730216904726134,143668075.8728354,0.07468755211995563
Russian Federation,2014,Solar,0.16,143668075.8728354,0.001113678171214741
Russian Federation,2014,Wind,0.09610600000000001,143668075.8728354,6.689447145172745e-4
Russian Federation,2014,Hydro,173.39450000000002,143668075.8728354,1.2069104353668403
Russian Federation,2014,Nuclear,180.7574,143668075.8728354,1.2581598166595716
Russian Federation,2014,Biomass/Geo,0.5543999999999999,143668075.8728354,0.0038588948632590774
Russian Federation,2014,SolarPlusWind,0.256106,143668075.8728354,0.0017826228857320157
Russian Federation,2014,SolarPlusWindPlusBio,0.810506,143668075.8728354,0.0056415177489910935
Russian Federation,2015,Gas,529.754627719022,143186300.9790752,3.699757756829256
Russian Federation,2015,Coal,158.5516843351303,143186300.9790752,1.1073104287979374
Russian Federation,2015,Oil,10.102107317272068,143186300.9790752,0.07055219143309219
Russian Federation,2015,Solar,0.3356,143186300.9790752,0.002343799635197249
Russian Federation,2015,Wind,0.148037,143186300.9790752,0.00103387683729349
Russian Federation,2015,Hydro,167.993469,143186300.9790752,1.1732509873591193
Russian Federation,2015,Nuclear,195.470211,143186300.9790752,1.3651460346654631
Russian Federation,2015,Biomass/Geo,0.48119999999999996,143186300.9790752,0.003360656687893076
Russian Federation,2015,SolarPlusWind,0.483637,143186300.9790752,0.0033776764724907393
Russian Federation,2015,SolarPlusWindPlusBio,0.964837,143186300.9790752,0.006738333160383816
Russian Federation,2016,Gas,521.8093609129293,142670639.7450411,3.6574403945018137
Russian Federation,2016,Coal,171.45001851900645,142670639.7450411,1.2017189999666043
Russian Federation,2016,Oil,10.968449007054605,142670639.7450411,0.07687951092569376
Russian Federation,2016,Solar,0.4683,142670639.7450411,0.0032823852254176005
Russian Federation,2016,Wind,0.14812049999999996,142670639.7450411,0.0010381988912694163
Russian Federation,2016,Hydro,184.611772,142670639.7450411,1.2939717122591556
Russian Federation,2016,Nuclear,196.614384,142670639.7450411,1.3780998273461087
Russian Federation,2016,Biomass/Geo,0.44589999999999996,142670639.7450411,0.003125380252004501
Russian Federation,2016,SolarPlusWind,0.6164204999999999,142670639.7450411,0.004320584116687016
Russian Federation,2016,SolarPlusWindPlusBio,1.0623204999999998,142670639.7450411,0.007445964368691517
Russian Federation,2017,Gas,516.2742027123048,142121092.17073315,3.6326360487864346
